level,topic,label
1,E1.GOV-3,Disclosure of integration of sustainability-related performance in incentive schemes
3,E1.GOV-3,"Explanation of climate-related considerations that are factored into remuneration of members of administrative, management and supervisory bodies"
2,E1.SBM-3,"Disclosure of material impacts, risks and opportunities and how they interact with strategy and business model"
5,E1.SBM-3,Information about resilience of strategy and business model regarding capacity to address material impacts and risks and to take advantage of material opportunities
6,E1.SBM-3,Description of scope of resilience analysis
6,E1.SBM-3,Disclosure of how resilience analysis has been conducted
6,E1.SBM-3,Description of results of resilience analysis
5,E1.SBM-3,Description of ability to adjust or adapt strategy and business model to climate change
1,E1.IRO-1,"Disclosure of process to identify impacts, risks and opportunities and to assess which ones are material"
2,E1.IRO-1,Description of process in relation to impacts on climate change
2,E1.IRO-1,Description of process in relation to climate-related physical risks in own operations and along upstream and downstream value chain
3,E1.IRO-1,"Explanation of how climate-related scenario analysis has been used to inform identification and assessment of physical risks over short, medium and long-term"
2,E1.IRO-1,Description of process in relation to climate-related transition risks and opportunities in own operations and along upstream and downstream value chain
3,E1.IRO-1,"Explanation of how climate-related scenario analysis has been used to inform identification and assessment of transition risks and opportunities over short, medium and long-term"
2,E1.IRO-1,Explanation of how climate scenarios used are compatible with critical climate-related assumptions made in financial statements
1,E1-1,Disclosure of transition plan for climate change mitigation
2,E1-1,Explanation of how targets are compatible with limiting of global warming to one and half degrees Celsius in line with Paris Agreement
2,E1-1,Explanation of decarbonisation levers identified and key actions planned
2,E1-1,Disclosure of significant operational expenditures (Opex) and (or) capital expenditures (Capex) required for implementation of action plan
2,E1-1,Explanation of relationship of significant CapEx and OpEx required to implement actions taken or planned to key performance indicators required under Commission Delegated Regulation (EU) 2021/2178
2,E1-1,Explanation of relationship of significant CapEx and OpEx required to implement actions taken or planned to CapEx plan required by Commission Delegated Regulation (EU) 2021/2178
2,E1-1,Explanation of potential locked-in GHG emissions from key assets and products and of how locked-in GHG emissions may jeopardise achievement of GHG emission reduction targets and drive transition risk
2,E1-1,"Explanation of any objective or plans (CapEx, CapEx plans, OpEx) for aligning economic activities (revenues, CapEx, OpEx) with criteria established in Commission Delegated Regulation 2021/2139"
2,E1-1,Explanation of how transition plan is embedded in and aligned with overall business strategy and financial planning
2,E1-1,Explanation of progress in implementing transition plan
1,E1-2,"Disclosure of policies adopted to manage material impacts, risks and opportunities related to climate change mitigation and adaptation"
4,E1-2,Description of key contents of policy
4,E1-2,Description of scope of policy or of its exclusions
4,E1-2,Description of most senior level in organisation that is accountable for implementation of policy
4,E1-2,Disclosure of third-party standards or initiatives that are respected through implementation of policy
4,E1-2,Description of consideration given to interests of key stakeholders in setting policy
5,E1-2,Explanation of how policy is made available to potentially affected stakeholders and stakeholders who need to help implement it
1,E1-3,Disclosure of climate change mitigation and adaptation actions and resources allocated for their implementation
4,E1-3,Disclosure of key action
